,10
632,1
4961,9
2493,4
2665,5
3605,7
3658,7
3303,6
4996,9
3708,7
2500,5
1465,2
2829,5
115,10
1821,3
1494,2
2401,4
1232,2
2661,5
3833,7
4572,9
1153,2
4938,9
57,10
4200,8
4287,8
4944,9
1735,3
2196,4
3755,7
2475,4
2564,5
3154,6
4920,9
3651,7
707,1
4279,8
1093,2
3557,7
1376,2
4912,9
72,10
1922,3
3169,6
1764,3
743,1
2874,5
1005,2
2668,5
1190,2
3881,7
2601,5
1125,2
1241,2
2845,5
4129,8
3438,6
998,1
3382,6
2684,5
1577,3
4789,9
1826,3
3288,6
4988,9
3532,7
440,10
4950,9
1100,2
4005,8
3954,7
649,1
1546,3
3534,7
4964,9
3182,6
4666,9
630,1
672,1
1249,2
482,10
1584,3
3912,7
4626,9
3034,6
1462,2
3924,7
3617,7
2578,5
3796,7
49,10
4288,8
3268,6
858,1
1072,2
719,1
3153,6
2631,5
4872,9
1660,3
1656,3
2425,4
3520,7
4228,8
4973,9
3305,6
4475,8
4506,9
4750,9
4125,8
2606,5
1385,2
3830,7
1399,2
1195,2
1408,2
3819,7
1798,3
1475,2
3650,7
35,10
3537,7
2345,4
3173,6
2359,4
2206,4
4182,8
1286,2
349,10
2137,4
2691,5
4706,9
3121,6
1681,3
4016,8
1443,2
3483,6
1671,3
2949,5
1179,2
2798,5
1692,3
3869,7
372,10
3606,7
1916,3
1357,2
1825,3
786,1
469,10
140,10
788,1
323,10
50,10
714,1
4487,8
2840,5
2446,4
4812,9
4418,8
4595,9
3011,6
2666,5
406,10
3355,6
1004,2
3001,6
890,1
2411,4
2545,5
4038,8
2390,4
3935,7
42,10
2830,5
3870,7
303,10
4512,9
3742,7
664,1
1177,2
2676,5
1947,3
2501,5
1473,2
3479,6
3516,7
2132,4
1026,2
961,1
2889,5
3130,6
2009,4
2149,4
3319,6
2338,4
3883,7
304,10
1440,2
1496,2
2652,5
2875,5
916,1
4181,8
3717,7
2772,5
1624,3
3832,7
821,1
3296,6
1354,2
4746,9
850,1
1000,2
4577,9
18,10
1637,3
1667,3
493,10
1347,2
4784,9
4604,9
3610,7
3477,6
687,1
3726,7
1608,3
4613,9
3398,6
1009,2
2408,4
1092,2
1327,2
1677,3
1999,4
1310,2
3254,6
1987,3
4315,8
344,10
4432,8
986,1
3846,7
3802,7
4311,8
3997,7
4597,9
3026,6
1142,2
2358,4
1198,2
85,10
1518,3
516,1
1381,2
2716,5
3080,6
1014,2
128,10
1364,2
3789,7
4345,8
891,1
2793,5
4207,8
1359,2
307,10
1661,3
2431,4
3929,7
1317,2
4302,8
2474,4
2542,5
1246,2
1208,2
216,10
4291,8
3058,6
1239,2
2289,4
2740,5
275,10
489,10
1035,2
1229,2
4584,9
1008,2
4052,8
3566,7
3894,7
2532,5
4168,8
1058,2
2166,4
4790,9
281,10
3692,7
1316,2
4977,9
968,1
3957,7
3915,7
3162,6
3515,7
619,1
3230,6
1742,3
1390,2
4618,9
1847,3
1579,3
1655,3
2352,4
2212,4
2020,4
4971,9
1956,3
1307,2
2003,4
4454,8
575,1
4084,8
4201,8
4435,8
1706,3
4082,8
3466,6
1280,2
861,1
4144,8
1801,3
1628,3
1993,3
2639,5
269,10
629,1
3081,6
2334,4
2966,5
300,10
459,10
1447,2
1472,2
2046,4
4227,8
3759,7
2113,4
27,10
3834,7
4521,9
837,1
3821,7
2008,4
4906,9
503,1
4965,9
4303,8
380,10
1851,3
1525,3
2365,4
3312,6
3052,6
2884,5
2340,4
374,10
3256,6
2381,4
4308,8
939,1
3845,7
4351,8
2799,5
2147,4
4271,8
4539,9
4215,8
2068,4
529,1
3725,7
636,1
1269,2
185,10
3813,7
4686,9
3450,6
1797,3
2979,5
1441,2
3423,6
4873,9
1535,3
3439,6
1273,2
2467,4
607,1
3792,7
1712,3
2199,4
955,1
2579,5
3892,7
4424,8
4695,9
3681,7
403,10
2071,4
4754,9
1977,3
158,10
1748,3
2909,5
4204,8
902,1
352,10
1230,2
4669,9
2140,4
444,10
4947,9
754,1
1737,3
2971,5
4978,9
2920,5
311,10
548,1
4047,8
4760,9
1989,3
306,10
2335,4
694,1
2356,4
1927,3
684,1
749,1
4879,9
1266,2
4071,8
3525,7
4422,8
3979,7
3083,6
3061,6
3025,6
970,1
13,10
873,1
808,1
3198,6
514,1
4471,8
409,10
3404,6
4685,9
207,10
3787,7
458,10
3467,6
2430,4
3653,7
110,10
3741,7
4039,8
1883,3
1713,3
4044,8
3413,6
552,1
1439,2
2270,4
3144,6
2821,5
4780,9
1925,3
634,1
4804,9
316,10
4216,8
4698,9
1328,2
427,10
3370,6
105,10
3041,6
142,10
2169,4
4135,8
89,10
2918,5
3237,6
2241,4
3174,6
3408,6
2163,4
2636,5
1949,3
1768,3
3279,6
2272,4
1,10
4372,8
4956,9
1951,3
4093,8
4295,8
2720,5
3482,6
1109,2
3807,7
591,1
1695,3
4739,9
2936,5
4203,8
3407,6
1576,3
3949,7
213,10
778,1
1415,2
3754,7
2043,4
2848,5
4536,9
3501,7
3808,7
1567,3
165,10
4713,9
4353,8
4925,9
1343,2
2013,4
273,10
71,10
3882,7
1087,2
394,10
583,1
1367,2
4986,9
4083,8
2548,5
1013,2
4896,9
3003,6
4787,9
3995,7
3528,7
1763,3
1875,3
1259,2
4529,9
2253,4
2781,5
3588,7
526,1
4103,8
2946,5
377,10
1559,3
3815,7
1963,3
4731,9
348,10
2434,4
2246,4
4165,8
1709,3
1050,2
590,1
519,1
4534,9
4122,8
2477,4
1083,2
4445,8
4777,9
4508,9
1294,2
1809,3
791,1
792,1
4113,8
1855,3
4756,9
1980,3
3233,6
3903,7
3381,6
3328,6
1530,3
1410,2
4293,8
4647,9
83,10
868,1
2350,4
20,10
3973,7
2795,5
4571,9
1562,3
3093,6
3155,6
973,1
1710,3
3201,6
3976,7
4818,9
1098,2
4160,8
2844,5
886,1
4930,9
3674,7
4579,9
3783,7
4400,8
515,1
4619,9
737,1
1453,2
3966,7
4699,9
2506,5
2994,5
2126,4
2926,5
4855,9
906,1
4198,8
1030,2
2507,5
2428,4
947,1
3801,7
4062,8
715,1
4050,8
686,1
703,1
3341,6
2353,4
2257,4
3826,7
473,10
21,10
2752,5
885,1
2448,4
917,1
3752,7
4588,9
2239,4
3839,7
3395,6
1265,2
483,10
4336,8
2963,5
1219,2
277,10
988,1
2084,4
1245,2
2382,4
571,1
1435,2
993,1
4270,8
3443,6
585,1
3654,7
2514,5
1349,2
1007,2
674,1
2412,4
2903,5
447,10
3667,7
3753,7
3699,7
359,10
2064,4
4448,8
3805,7
1690,3
4325,8
1548,3
1247,2
1985,3
294,10
1547,3
2012,4
588,1
3329,6
2403,4
2129,4
4387,8
2410,4
2719,5
425,10
2582,5
1054,2
3961,7
4561,9
556,1
4357,8
3933,7
4711,9
2469,4
4709,9
355,10
1193,2
1716,3
3416,6
2604,5
4128,8
2828,5
1704,3
2863,5
2618,5
2400,4
2139,4
3239,6
2383,4
3218,6
3739,7
1285,2
4755,9
3835,7
4467,8
2087,4
1889,3
4781,9
1591,3
1346,2
4430,8
2162,4
2396,4
3639,7
2271,4
4489,8
3111,6
1137,2
4963,9
972,1
795,1
3020,6
1711,3
3387,6
36,10
453,10
913,1
4076,8
1199,2
1274,2
2375,4
37,10
974,1
3195,6
983,1
3899,7
4064,8
1418,2
3332,6
1560,3
39,10
1486,2
3878,7
169,10
1355,2
2785,5
3628,7
4747,9
3999,8
2682,5
4703,9
4020,8
1640,3
1290,2
1380,2
1933,3
579,1
4219,8
3160,6
2030,4
892,1
3946,7
780,1
159,10
2,10
2263,4
3216,6
2109,4
849,1
2737,5
2466,4
3646,7
1596,3
1776,3
1913,3
1043,2
4712,9
1544,3
2736,5
3702,7
4616,9
53,10
1796,3
1911,3
2306,4
2553,5
2800,5
4081,8
4126,8
824,1
4732,9
3178,6
3401,6
1389,2
3564,7
4903,9
884,1
3800,7
1607,3
1594,3
771,1
2611,5
3849,7
2273,4
1868,3
1085,2
10,10
3607,7
1325,2
3390,6
1463,2
806,1
4603,9
3980,7
4541,9
2108,4
4234,8
4955,9
2234,4
3211,6
963,1
3415,6
4853,9
398,10
2632,5
4850,9
2996,5
704,1
431,10
292,10
4866,9
145,10
4145,8
2033,4
4205,8
1165,2
3500,7
2050,4
2624,5
4377,8
339,10
3951,7
3668,7
2973,5
265,10
2424,4
1262,2
1771,3
3511,7
271,10
696,1
747,1
244,10
317,10
476,10
2032,4
957,1
3811,7
813,1
4623,9
1914,3
4601,9
3487,6
1297,2
4025,8
1804,3
758,1
250,10
2461,4
545,1
3241,6
738,1
310,10
4994,9
2941,5
1131,2
1449,2
4918,9
15,10
3232,6
2769,5
3468,6
920,1
3029,6
1372,2
3587,7
2544,5
3598,7
38,10
363,10
4100,8
182,10
3033,6
2983,5
1194,2
2852,5
3761,7
1121,2
2235,4
2667,5
3926,7
3223,6
1182,2
4183,8
4292,8
614,1
4907,9
1466,2
401,10
3042,6
934,1
2419,4
4024,8
4513,9
2641,5
4012,8
726,1
826,1
1521,3
4743,9
2930,5
136,10
3590,7
628,1
334,10
390,10
4386,8
4874,9
3827,7
1817,3
400,10
710,1
1039,2
3984,7
3359,6
46,10
1561,3
4936,9
3642,7
4842,9
1112,2
2513,5
3608,7
1223,2
4055,8
3023,6
2421,4
1508,3
1750,3
4836,9
4091,8
1799,3
338,10
215,10
3663,7
1341,2
11,10
1520,3
3640,7
3932,7
3770,7
3004,6
2864,5
3115,6
4839,9
2322,4
2571,5
2913,5
101,10
3549,7
1458,2
171,10
107,10
4195,8
3569,7
4990,9
4294,8
4058,8
3856,7
4121,8
4065,8
60,10
1240,2
4878,9
1040,2
4481,8
2760,5
2120,4
1524,3
3521,7
153,10
2248,4
481,10
4232,8
4304,8
3578,7
4124,8
3562,7
3315,6
1762,3
3538,7
4802,9
750,1
3619,7
1785,3
4269,8
3383,6
4137,8
405,10
757,1
2711,5
2670,5
3978,7
97,10
1333,2
4450,8
2791,5
2854,5
186,10
3998,7
2723,5
3583,7
2058,4
1319,2
148,10
28,10
4139,8
4004,8
3363,6
692,1
2866,5
3776,7
1386,2
1845,3
4729,9
129,10
1599,3
3629,7
4502,9
701,1
3977,7
3028,6
2969,5
4355,8
1708,3
2953,5
454,10
2868,5
2040,4
1772,3
2315,4
609,1
167,10
730,1
4247,8
3358,6
2074,4
4034,8
3700,7
1622,3
587,1
1401,2
3045,6
3224,6
1700,3
3088,6
4820,9
2981,5
40,10
1379,2
2089,4
2175,4
3217,6
2885,5
74,10
3904,7
3885,7
2657,5
3180,6
2076,4
441,10
4046,8
2051,4
2541,5
3306,6
1301,2
1781,3
4813,9
3430,6
1304,2
236,10
2599,5
520,1
2573,5
3280,6
3186,6
2768,5
735,1
4702,9
4928,9
2106,4
2679,5
3229,6
2761,5
592,1
1303,2
1387,2
4694,9
4525,9
4749,9
1890,3
2987,5
4923,9
3297,6
904,1
4608,9
1279,2
933,1
4898,9
2308,4
1555,3
4532,9
3190,6
4440,8
706,1
4689,9
3070,6
745,1
3594,7
1939,3
4399,8
2862,5
4772,9
513,1
81,10
4975,9
1308,2
4547,9
914,1
3452,6
3695,7
4803,9
3156,6
2198,4
4231,8
774,1
329,10
2054,4
2001,4
943,1
822,1
4526,9
909,1
2516,5
181,10
164,10
1523,3
451,10
2538,5
4105,8
4774,9
1311,2
3149,6
1111,2
4546,9
4080,8
3489,6
1287,2
4176,8
4644,9
3680,7
4329,8
4167,8
3300,6
3310,6
4742,9
3125,6
327,10
1790,3
2490,4
2006,4
2007,4
1858,3
4684,9
312,10
832,1
3079,6
4716,9
3462,6
1201,2
4390,8
3547,7
3988,7
2134,4
3451,6
2209,4
1901,3
1481,2
777,1
799,1
3714,7
3942,7
54,10
2972,5
3335,6
1920,3
3715,7
4645,9
946,1
1701,3
3293,6
2161,4
1136,2
987,1
2549,5
193,10
3057,6
3246,6
1394,2
2637,5
768,1
4701,9
3090,6
3495,6
3215,6
285,10
4937,9
428,10
4447,8
2332,4
2717,5
2079,4
3389,6
722,1
951,1
4382,8
4365,8
2262,4
989,1
3212,6
1759,3
4427,8
326,10
2608,5
1383,2
1724,3
1086,2
2523,5
341,10
3701,7
147,10
688,1
3432,6
1107,2
848,1
966,1
4726,9
1492,2
3953,7
2203,4
2713,5
661,1
1002,2
62,10
284,10
2224,4
4705,9
1879,3
3572,7
4856,9
1203,2
1990,3
24,10
4851,9
4101,8
4166,8
762,1
875,1
4741,9
938,1
2687,5
3600,7
2394,4
4566,9
4979,9
4307,8
4563,9
385,10
3877,7
4369,8
4568,9
536,1
2291,4
4664,9
3874,7
936,1
3737,7
4641,9
2360,4
3507,7
201,10
3208,6
1332,2
3016,6
3502,7
2708,5
1934,3
935,1
2418,4
566,1
4021,8
1854,3
4468,8
2872,5
3030,6
1205,2
1645,3
3417,6
3476,6
2861,5
1792,3
3797,7
3368,6
3367,6
3533,7
3449,6
603,1
3056,6
4359,8
126,10
3876,7
2935,5
3531,7
2730,5
827,1
1639,3
984,1
3281,6
4970,9
2188,4
4611,9
2443,4
362,10
2349,4
345,10
814,1
3205,6
4159,8
4794,9
3325,6
4106,8
2116,4
1834,3
793,1
4945,9
2674,5
94,10
3756,7
2891,5
2371,4
4148,8
4431,8
3228,6
2853,5
2912,5
1865,3
1857,3
2645,5
2243,4
2336,4
950,1
3068,6
1120,2
2597,5
2204,4
419,10
922,1
1254,2
477,10
2035,4
1202,2
2626,5
4817,9
1970,3
3110,6
4018,8
2151,4
3687,7
1997,3
4033,8
3054,6
1248,2
2192,4
2712,5
992,1
2190,4
3762,7
3597,7
1318,2
1863,3
2343,4
2449,4
2136,4
1065,2
4959,9
2621,5
77,10
2898,5
1314,2
4371,8
872,1
3850,7
4786,9
2965,5
3391,6
2560,5
4895,9
2635,5
3530,7
375,10
1908,3
4331,8
4378,8
4027,8
1604,3
1118,2
3677,7
3490,6
4863,9
2958,5
1994,3
4954,9
4354,8
2376,4
1342,2
320,10
1619,3
3713,7
2060,4
2219,4
1673,3
260,10
4416,8
2039,4
901,1
3744,7
2026,4
1917,3
1828,3
1573,3
4393,8
4208,8
224,10
723,1
4484,8
1141,2
2762,5
846,1
2551,5
2928,5
117,10
645,1
3,10
4170,8
467,10
5,10
919,1
2595,5
1063,2
2590,5
242,10
1160,2
2870,5
3735,7
2397,4
3517,7
3421,6
2563,5
1605,3
4827,9
2324,4
2709,5
4397,8
1312,2
3448,6
3812,7
4654,9
2362,4
1975,3
3514,7
1761,3
2739,5
4969,9
2472,4
4007,8
1493,2
4206,8
2158,4
1169,2
4515,9
232,10
66,10
1603,3
3283,6
3596,7
125,10
1296,2
1976,3
4516,9
4480,8
2075,4
3086,6
4362,8
3345,6
4463,8
2797,5
918,1
1646,3
364,10
3287,6
2125,4
4123,8
525,1
55,10
638,1
302,10
2766,5
1276,2
2055,4
3644,7
4143,8
2878,5
4202,8
2286,4
2261,4
2296,4
1753,3
1968,3
4350,8
3117,6
2393,4
523,1
3900,7
3122,6
4156,8
1969,3
671,1
4188,8
666,1
4337,8
1887,3
3266,6
280,10
1719,3
2947,5
899,1
4849,9
760,1
1906,3
4042,8
3823,7
4138,8
3818,7
4300,8
2593,5
4164,8
3031,6
3579,7
2832,5
3472,6
137,10
2180,4
2128,4
3177,6
4366,8
4261,8
4344,8
1331,2
2017,4
2482,4
1358,2
1329,2
2150,4
2122,4
3981,7
1252,2
3278,6
3374,6
2814,5
1848,3
3037,6
388,10
235,10
1077,2
1984,3
4363,8
3962,7
770,1
2165,4
673,1
249,10
1574,3
3419,6
2081,4
1823,3
716,1
4667,9
2048,4
4178,8
2724,5
4520,9
1460,2
1668,3
2756,5
2000,4
404,10
384,10
4522,9
2152,4
1633,3
4585,9
3925,7
4158,8
223,10
2193,4
3136,6
1824,3
4599,9
797,1
2871,5
9,10
1944,3
1838,3
255,10
4507,9
1581,3
2956,5
924,1
4428,8
2508,5
3775,7
4136,8
2779,5
539,1
2745,5
4497,8
4570,9
1145,2
667,1
3019,6
357,10
2831,5
2783,5
1353,2
470,10
2703,5
3330,6
3637,7
1396,2
3584,7
4485,8
3376,6
1256,2
3512,7
1250,2
4806,9
4298,8
3284,6
2933,5
4175,8
1852,3
4868,9
2105,4
133,10
928,1
823,1
4542,9
1531,3
1214,2
504,1
4285,8
1996,3
3072,6
1958,3
1384,2
894,1
455,10
4635,9
3709,7
4617,9
4268,8
3522,7
4134,8
3602,7
713,1
4186,8
2214,4
2923,5
1810,3
3486,6
3141,6
1827,3
1155,2
1324,2
4312,8
510,1
1680,3
499,1
4535,9
1856,3
1388,2
3719,7
2386,4
3236,6
1540,3
1217,2
2681,5
2993,5
1191,2
1542,3
3301,6
3324,6
2539,5
953,1
4330,8
732,1
1156,2
3294,6
2982,5
2156,4
1062,2
2616,5
1167,2
3222,6
3636,7
2938,5
4491,8
3140,6
143,10
3577,7
2782,5
717,1
1819,3
2502,5
4360,8
4171,8
395,10
4835,9
4492,8
1365,2
4557,9
595,1
3952,7
2914,5
2326,4
3766,7
3440,6
3851,7
4132,8
4590,9
2143,4
1571,3
4079,8
1122,2
2786,5
2967,5
2504,5
3465,6
675,1
2808,5
3348,6
728,1
412,10
3146,6
1516,3
825,1
3267,6
3974,7
